Vernier Format 2
Logger_Pro_Pendulum_Data.cmbl 4/6/2024 15:57:22 .
VideoAnalysis
Time	X	Y	X Velocity	Y Velocity
t	X	Y	Vx	Vy
s				

1.962	751.325752923	442.307900103	-236.40086719	-188.929338784
2.029	739.935845479	431.629861875	-300.572308092	-212.254340919
2.062	721.427245883	420.239954431	-372.721209653	-228.549609438
2.095	710.03733844	413.833131494	-317.786999521	-171.777609023
2.129	703.630515503	411.697523848	-366.023063554	-195.166902153
2.162	690.105000414	403.155093266	-533.516700799	-277.02522698
2.195	667.325185527	391.053316607	-684.005917779	-304.452628206
2.228	642.409762994	381.087147594	-760.352935891	-267.94791533
2.262	614.6468636	373.968455442	-782.361523028	-232.607120603
2.295	590.443310283	362.578547998	-811.039905555	-117.335268107
2.328	563.392280104	365.426024859	-895.995573769	14.0557089305
2.362	529.222557774	366.849763289	-948.236578215	58.0050756465
2.395	497.900312304	370.409109366	-941.054527783	69.7393405889
2.428	466.578066835	370.409109366	-905.888448064	100.146244533
2.461	436.679559795	375.392193872	-824.506734875	170.576156968
2.495	411.764137263	383.934624455	-749.785896494	185.445429312
2.528	386.136845515	388.917708961	-669.489965377	166.465725829
2.561	367.628245919	394.612662683	-589.436306485	150.956741016
2.594	349.119646323	398.883877974	-552.843826463	139.982678805
2.628	327.763569867	402.443224051	-442.105787283	169.517024323
2.661	318.509270069	410.273785418	-305.998336483	196.446059711
2.694	309.254970271	417.39247757	-211.150562576	171.858674427
2.727	305.695624195	421.663692861	-148.173862191	138.741359276
2.761	299.288801258	425.934908153	-87.0055728158	114.292857681
2.794	297.865062827	430.917992659	27.4634893682	41.2828187907
2.827	301.424408903	430.206123444	134.337538659	-72.2245572684
2.86	307.83123184	425.934908153	213.342367804	-175.835222276
2.894	316.373662423	415.256869924	272.731006562	-192.590928295
2.927	324.916093006	412.409393064	364.543051126	-184.882442558
2.96	339.865346525	404.578831696	473.789997793	-209.465367513
2.993	356.238338475	398.172008759	580.811686028	-223.411019373
3.027	379.730022578	388.917708961	655.49258112	-219.290973283
3.06	401.086099034	383.22275524	696.427540888	-201.110757509
3.093	426.713390782	375.392193872	707.7032638	-171.305998572
3.126	448.069467239	371.120978581	713.791109434	-118.550664605
3.16	472.273020556	367.561632505	777.018043578	-69.3058591196
3.193	500.03591995	366.849763289	845.383329126	-25.5545271932
3.226	529.934426989	366.137894074	863.505506495	11.922271539
3.26	557.697326383	366.137894074	873.003903786	87.6951129948
3.293	589.731441068	372.544717011	833.731201276	148.642233457
3.326	614.6468636	376.815932303	737.557491889	183.83548066
3.359	638.850416918	385.358362885	628.992653991	195.576437907
3.393	655.223408868	390.341447392	563.187999719	195.665289971
3.426	675.155746894	397.460139544	534.123306145	219.572483054
3.459	691.528738844	404.578831696	473.340720573	244.168789003
3.492	708.613600009	415.256869924	353.236194541	219.793843849
3.526	715.732292162	420.951823646	219.477642912	146.434154852
3.559	720.715376668	424.511169722	150.322968187	76.9703520451
3.592	724.98659196	425.934908153	99.7780642875	8.99730350102
3.625	729.257807251	425.934908153	2.92763533673	-69.2306774215
3.659	725.698461175	419.528085216	-108.388678227	-97.0787071306
3.692	720.715376668	417.39247757	-188.590196094	-72.0806101475
3.725	712.884815301	416.680608355	-258.37008516	-93.5984750571
3.758	703.630515503	412.409393064	-326.077705019	-148.734607022
3.792	692.240608059	406.002570127	-423.200838177	-190.851220956
3.825	675.155746894	399.59574719	-519.809690691	-227.392258532
3.858	656.647147298	390.341447392	-581.756017805	-245.890072235
3.891	637.426678487	382.510886024	-648.351564886	-236.585010414
3.925	611.799386739	376.104063087	-675.016149336	-256.478171097
3.958	590.443310283	362.578547998	-662.141768789	-200.607550798
3.991	571.222841472	361.154809568	-729.095022924	-96.5374293025
4.024	543.459942078	358.307332707	-819.563870516	-42.690807008
4.058	513.561435039	358.307332707	-843.849016788	10.0582515967
4.091	485.08666643	359.019201922	-815.165913691	60.6006439121
4.124	462.306851543	361.154809568	-833.826248136	143.933095725
4.158	428.137129213	368.27350172	-815.911234453	226.881468556
4.191	403.22170668	378.239670733	-683.133719853	256.181683386
4.224	384.713107084	388.205839746	-578.133821579	196.823160637
4.257	366.204507488	389.629578177	-497.761903416	167.7373737
4.291	349.119646323	399.59574719	-377.092973504	135.093205964
4.324	342.712823386	399.59574719	-301.755748419	84.6100922322
4.357	332.034785158	403.155093266	-293.792836796	85.3699708535
4.39	319.933008499	406.002570127	-199.042404348	65.7512627361
4.424	317.085531638	408.138177772	-61.1283460958	34.3883578127
4.457	317.085531638	408.138177772	48.419352282	4.15703075509
4.49	321.35674693	408.138177772	126.598860161	-21.4773164239
4.523	327.051700651	406.714439342	158.980962719	-48.0786676531
4.557	329.899177512	406.002570127	240.082356078	-100.74030868
4.59	342.712823386	399.59574719	336.064227674	-143.289833341
4.623	354.10273083	395.324531898	384.766202892	-152.754255388
4.656	366.204507488	389.629578177	475.315182601	-161.232506119
4.69	386.84871473	384.64649367	541.075410841	-166.535997459
4.723	403.933575895	378.239670733	572.704784822	-162.987476729
4.756	422.442175491	372.544717011	657.607637123	-122.904487624
4.789	448.069467239	370.409109366	722.489646133	-91.356714542
4.823	471.561151341	367.561632505	764.606260065	-84.7540294149
4.856	499.324050735	364.714155644	792.587869279	-73.5460324268
4.889	526.375080913	360.442940352	748.896064948	-1.23591784422
4.922	549.1548958	364.002286429	693.004209392	87.597295438
4.956	571.222841472	368.27350172	672.198210841	127.300512364
4.989	594.002656359	373.256586226	656.068295565	141.568925344
5.022	616.070602031	376.815932303	599.921769667	168.746729455
5.056	634.579201627	385.358362885	531.727277242	173.040865028
5.089	650.952193577	388.917708961	478.540252893	160.524561709
5.122	665.901447096	396.036401114	432.057901782	145.608801235
5.155	680.138831401	398.883877974	370.45034509	119.822961923
5.189	690.816869629	402.443224051	301.709089986	130.875342327
5.222	700.071169427	409.561916203	235.791877341	92.5559734939
5.255	707.901730794	409.561916203	129.443336431	25.557710546
5.288	707.901730794	409.561916203	41.5338568016	-1.81959391069
5.322	710.03733844	410.273785418	-29.6676236124	-46.2056822256
5.355	706.477992364	406.002570127	-112.797372082	-76.4176761825
5.388	702.206777072	404.578831696	-186.75659357	-94.2006200791
5.421	694.376215705	401.01948562	-269.714519151	-140.485549364
5.455	684.410046692	395.324531898	-358.63302068	-186.597896775
5.488	670.884531603	386.782101316	-463.089657902	-186.212838376
5.521	653.087801222	382.510886024	-544.230421696	-165.868041157
5.554	634.579201627	376.104063087	-611.040054477	-149.375238429
5.588	611.087517524	372.544717011	-647.301397736	-132.788271036
5.621	591.867048713	367.561632505	-697.519511612	-122.994505266
5.654	565.52788775	363.290417213	-756.113695409	-81.7700762945
5.687	540.612465217	361.866678783	-773.44704035	-31.4562397305
5.721	512.849565824	361.866678783	-766.368381139	4.76067748975
5.754	488.646012506	361.866678783	-738.020150114	47.71826896
5.787	465.866197619	364.714155644	-745.377267355	97.899452939
5.82	438.103298226	368.985370935	-711.68702834	132.196548411
5.854	415.323483339	373.256586226	-605.933899691	168.791133074
5.887	398.950491389	380.375278379	-530.185606393	193.647100633
5.92	381.865630223	388.205839746	-492.680175593	158.68401752
5.954	364.780769058	391.765185822	-427.311918764	100.277381407
5.987	352.678992399	393.188924253	-344.346661359	80.5747069368
6.02	341.289084956	397.460139544	-238.627432945	53.7494507234
6.053	337.72973888	397.460139544	-155.36826995	13.0941044677
6.087	332.034785158	397.460139544	-103.080704147	-4.11556333496
6.12	329.899177512	396.748270329	-28.0700947261	-10.1432036994
6.153	329.899177512	396.748270329	53.115677891	-14.2596859713
6.186	333.458523588	396.748270329	135.088723216	-44.4659748863
6.22	339.865346525	393.900793468	199.242522211	-78.2092185542
